implementation,shape,ny,nx,seed,processes,run,time_seconds,compute_fraction
seq,square,4096,4096,42,1,1,3.6964497528970242,0.62665206361237591
seq,square,4096,4096,42,1,2,3.6921135447919369,0.62640190372300875
seq,square,4096,4096,42,1,3,3.6973824575543404,0.6260643714396793
mpi,square,4096,4096,42,1,1,3.9978351444005966,0.57846610484338457
mpi,square,4096,4096,42,1,2,4.0052678249776363,0.57866880783832753
mpi,square,4096,4096,42,1,3,4.0018626786768436,0.57858731703292365
mpi,square,4096,4096,42,2,1,2.0087489150464535,0.57725633874877591
mpi,square,4096,4096,42,2,2,1.9983275644481182,0.57884214610520734
mpi,square,4096,4096,42,2,3,2.0100349262356758,0.57652473929984194
mpi,square,4096,4096,42,4,1,1.0460437126457691,0.55480829871781967
mpi,square,4096,4096,42,4,2,1.0278083980083466,0.56519073046655111
mpi,square,4096,4096,42,4,3,1.0394147969782352,0.55976092057851468
mpi,square,4096,4096,42,8,1,1.1047046072781086,0.35361397598123917
mpi,square,4096,4096,42,8,2,1.0465029254555702,0.35808185547335902
mpi,square,4096,4096,42,8,3,0.5732375904917717,0.53858791501505687
seq,wide,2048,8192,42,1,1,3.6268448531627655,0.62003834199507057
seq,wide,2048,8192,42,1,2,3.6247146613895893,0.62309479913438159
seq,wide,2048,8192,42,1,3,3.617440827190876,0.62224459094396334
mpi,wide,2048,8192,42,1,1,3.8979245759546757,0.57607604906216625
mpi,wide,2048,8192,42,1,2,3.9109512902796268,0.57436315128671478
mpi,wide,2048,8192,42,1,3,3.9149775728583336,0.57390213567310944
mpi,wide,2048,8192,42,2,1,1.9705881699919701,0.57108409730522536
mpi,wide,2048,8192,42,2,2,1.9559699222445488,0.57440315463602498
mpi,wide,2048,8192,42,2,3,1.9650010988116264,0.57212056901370012
mpi,wide,2048,8192,42,4,1,1.0246384553611279,0.55144632213585332
mpi,wide,2048,8192,42,4,2,1.0363596640527248,0.54852464717389116
mpi,wide,2048,8192,42,4,3,1.0268135331571102,0.54901969672956052
mpi,wide,2048,8192,42,8,1,0.58273602277040482,0.51732968555594894
mpi,wide,2048,8192,42,8,2,0.64639068022370338,0.48992469436761638
mpi,wide,2048,8192,42,8,3,0.85965889692306519,0.38514044156030641
seq,tall,8192,2048,42,1,1,3.6139077804982662,0.62127767269770928
seq,tall,8192,2048,42,1,2,3.610437236726284,0.62204489756850201
seq,tall,8192,2048,42,1,3,3.6124670617282391,0.62220368459618469
mpi,tall,8192,2048,42,1,1,3.915136843919754,0.57466453025611375
mpi,tall,8192,2048,42,1,2,3.9247376471757889,0.57344246591254922
mpi,tall,8192,2048,42,1,3,3.9025095216929913,0.57505943293594741
mpi,tall,8192,2048,42,2,1,1.949156679213047,0.57706121856353199
mpi,tall,8192,2048,42,2,2,1.9528800398111343,0.5758406017072154
mpi,tall,8192,2048,42,2,3,1.9587910249829292,0.57437335759696662
mpi,tall,8192,2048,42,4,1,1.0655991695821285,0.53592393718776121
mpi,tall,8192,2048,42,4,2,1.0068740583956242,0.56130985102736219
mpi,tall,8192,2048,42,4,3,1.1762754134833813,0.500182824786924
mpi,tall,8192,2048,42,8,1,1.0194685161113739,0.36177118412121484
mpi,tall,8192,2048,42,8,2,1.2752868235111237,0.36033246182365969
mpi,tall,8192,2048,42,8,3,0.67862566933035851,0.47225228385801427
