implementation,shape,ny,nx,processes,runs,min_seconds,median_seconds,max_seconds,median_compute_fraction,speedup
seq,square,4096,4096,1,3,3.692113544791937,3.696449752897024,3.6973824575543404,0.6264019037230087,1.0
mpi,square,4096,4096,1,3,3.9978351444005966,4.001862678676844,4.005267824977636,0.5785873170329237,0.9236823073897179
mpi,square,4096,4096,2,3,1.9983275644481182,2.0087489150464535,2.010034926235676,0.5772563387487759,1.8401751086006395
mpi,square,4096,4096,4,3,1.0278083980083466,1.0394147969782352,1.0460437126457691,0.5597609205785147,3.556279710124644
mpi,square,4096,4096,8,3,0.5732375904917717,1.0465029254555702,1.1047046072781086,0.358081855473359,3.5321924697801133
seq,wide,2048,8192,1,3,3.617440827190876,3.6247146613895893,3.6268448531627655,0.6222445909439633,1.0
mpi,wide,2048,8192,1,3,3.8979245759546757,3.910951290279627,3.9149775728583336,0.5743631512867148,0.9268115075732452
mpi,wide,2048,8192,2,3,1.9559699222445488,1.9650010988116264,1.97058816999197,0.5721205690137001,1.8446374730180597
mpi,wide,2048,8192,4,3,1.0246384553611279,1.0268135331571102,1.0363596640527248,0.5490196967295605,3.5300612470940043
mpi,wide,2048,8192,8,3,0.5827360227704048,0.6463906802237034,0.8596588969230652,0.4899246943676164,5.607622096493015
seq,tall,8192,2048,1,3,3.610437236726284,3.612467061728239,3.613907780498266,0.622044897568502,1.0
mpi,tall,8192,2048,1,3,3.9025095216929913,3.915136843919754,3.924737647175789,0.5746645302561137,0.9226924129966072
mpi,tall,8192,2048,2,3,1.949156679213047,1.9528800398111343,1.9587910249829292,0.5758406017072154,1.84981513871052
mpi,tall,8192,2048,4,3,1.0068740583956242,1.0655991695821285,1.1762754134833813,0.5359239371877612,3.3900805901949576
mpi,tall,8192,2048,8,3,0.6786256693303585,1.019468516111374,1.2752868235111237,0.36177118412121484,3.5434807496630802
