implementation,shape,ny,nx,processes,runs,min_seconds,median_seconds,max_seconds,median_compute_fraction,speedup
seq,square,16384,16384,1,20,69.09318930655718,69.23049255274236,69.3462903983891,0.6809621971282913,1.0
mpi,square,16384,16384,1,20,71.2775688432157,73.63484003394842,73.90479098260403,0.638692590834498,0.9401866361198654
mpi,square,16384,16384,2,20,36.87031791359186,37.20550116337836,37.708207469433546,0.6318857057461515,1.8607595755459527
mpi,square,16384,16384,4,20,20.952081747353077,21.067341905087233,21.717431839555502,0.5586791635045955,3.286152228631413
mpi,square,16384,16384,8,20,10.489144887775183,10.75801202468574,11.953957982361317,0.5538548665747673,6.435249597591401
mpi,square,16384,16384,16,20,5.4979277811944485,5.652033982798457,6.310747694224119,0.5321085854023773,12.248775000900594
mpi,square,16384,16384,32,20,4.970774311572313,5.01827223226428,5.429702218621969,0.32414662099042546,13.79568292601477
seq,wide,8192,32768,1,20,69.18851283565164,69.27711971849203,69.82550606504083,0.6808739393454788,1.0
mpi,wide,8192,32768,1,20,73.60978288948536,73.72430144995451,74.11010447517037,0.6378975967888612,0.9396782113360367
mpi,wide,8192,32768,2,20,36.88098620995879,37.02230606414378,37.8700656555593,0.6350029948981051,1.8712264870390434
mpi,wide,8192,32768,4,20,21.190633960068226,21.62413158081472,21.819348745048046,0.5433259522671909,3.203694884096794
mpi,wide,8192,32768,8,20,10.571209494024515,10.974156120792031,12.03846424818039,0.5439716199654895,6.312751427623406
mpi,wide,8192,32768,16,20,5.637937046587467,5.76671195961535,6.206213127821684,0.5212378362994947,12.01327900606864
mpi,wide,8192,32768,32,20,4.9576379880309105,5.005446679890156,5.466337151825428,0.32292254082343774,13.840347155593378
seq,tall,32768,8192,1,20,69.2097916379571,69.3027479276061,69.62003398314118,0.680541667445097,1.0
mpi,tall,32768,8192,1,20,72.46531161665916,72.63063878193498,73.00473413616419,0.6479854534998039,0.9541806197750722
mpi,tall,32768,8192,2,20,36.24031102284789,36.43519792705774,37.19954504072666,0.6467752584196058,1.9020823783185778
mpi,tall,32768,8192,4,20,21.46499915421009,21.856238707900047,22.23663628473878,0.555186927450845,3.170845123619385
mpi,tall,32768,8192,8,20,10.702831145375967,10.993062175810337,12.04663210362196,0.5482473089054931,6.304225958086838
mpi,tall,32768,8192,16,20,5.627717584371567,5.784918684512377,6.1553103774785995,0.523511160347148,11.979900100090653
mpi,tall,32768,8192,32,20,4.9205246195197105,4.980078490450978,5.183709561824799,0.32662639852443165,13.915995111420482
