implementation,shape,ny,nx,seed,processes,run,time_seconds,compute_fraction
seq,square,16384,16384,42,1,1,69.234634313732386,0.67967875928978028
seq,square,16384,16384,42,1,2,69.322136845439672,0.68134062873265944
seq,square,16384,16384,42,1,3,69.167100705206394,0.68164789303033746
seq,square,16384,16384,42,1,4,69.151830352842808,0.6807396582507329
seq,square,16384,16384,42,1,5,69.164552554488182,0.68138557680392109
seq,square,16384,16384,42,1,6,69.293986648321152,0.68120538014057208
seq,square,16384,16384,42,1,7,69.120203692466021,0.6809600065310355
seq,square,16384,16384,42,1,8,69.287105694413185,0.68129029003757891
seq,square,16384,16384,42,1,9,69.346290398389101,0.68163289965954899
seq,square,16384,16384,42,1,10,69.218757744878531,0.68086315436425127
seq,square,16384,16384,42,1,11,69.210354492068291,0.68124929619905794
seq,square,16384,16384,42,1,12,69.205270040780306,0.68096438772554702
seq,square,16384,16384,42,1,13,69.093189306557178,0.68082782292655175
seq,square,16384,16384,42,1,14,69.307535450905561,0.68079127858984223
seq,square,16384,16384,42,1,15,69.266405686736107,0.68095385092940219
seq,square,16384,16384,42,1,16,69.28716017305851,0.68115105448578184
seq,square,16384,16384,42,1,17,69.318653009831905,0.68052702787631014
seq,square,16384,16384,42,1,18,69.221271991729736,0.68014516675247672
seq,square,16384,16384,42,1,19,69.226350791752338,0.68090472582543649
seq,square,16384,16384,42,1,20,69.262363649904728,0.68107050622838117
mpi,square,16384,16384,42,1,1,72.682483982294798,0.6454028718921887
mpi,square,16384,16384,42,1,2,71.277568843215704,0.65768011969797346
mpi,square,16384,16384,42,1,3,72.557165678590536,0.64785604779212103
mpi,square,16384,16384,42,1,4,73.527331441640854,0.63832709333833515
mpi,square,16384,16384,42,1,5,73.672840137034655,0.63882142509213946
mpi,square,16384,16384,42,1,6,73.635029062628746,0.63878056528756888
mpi,square,16384,16384,42,1,7,73.581733167171478,0.63841981639235434
mpi,square,16384,16384,42,1,8,73.598090156912804,0.63840737262924785
mpi,square,16384,16384,42,1,9,73.585554651916027,0.63897355286059387
mpi,square,16384,16384,42,1,10,73.697143368422985,0.63857310588777882
mpi,square,16384,16384,42,1,11,73.541522949934006,0.63905672381803924
mpi,square,16384,16384,42,1,12,73.634651005268097,0.63869227941023654
mpi,square,16384,16384,42,1,13,73.676302582025528,0.63925861889313651
mpi,square,16384,16384,42,1,14,73.709447983652353,0.63844489364784895
mpi,square,16384,16384,42,1,15,73.815200887620449,0.6379352828180892
mpi,square,16384,16384,42,1,16,73.608303681015968,0.63869290225875941
mpi,square,16384,16384,42,1,17,73.678341053426266,0.63848899010848725
mpi,square,16384,16384,42,1,18,73.691223483532667,0.63791128252927898
mpi,square,16384,16384,42,1,19,73.654642321169376,0.63869119582133149
mpi,square,16384,16384,42,1,20,73.904790982604027,0.64045751046755806
mpi,square,16384,16384,42,2,1,36.933791264891624,0.63665566973944854
mpi,square,16384,16384,42,2,2,37.145661126822233,0.63282656604628318
mpi,square,16384,16384,42,2,3,37.434064891189337,0.6281926540041417
mpi,square,16384,16384,42,2,4,36.885077673941851,0.63697333961847324
mpi,square,16384,16384,42,2,5,37.193195983767509,0.63173738086179121
mpi,square,16384,16384,42,2,6,37.507813282310963,0.63021242566830205
mpi,square,16384,16384,42,2,7,37.146070260554552,0.63271521855587332
mpi,square,16384,16384,42,2,8,37.217806342989206,0.632034030630512
mpi,square,16384,16384,42,2,9,37.57607676461339,0.62536864315044072
mpi,square,16384,16384,42,2,10,37.678429886698723,0.62473169756753288
mpi,square,16384,16384,42,2,11,37.529826372861862,0.62704228568898301
mpi,square,16384,16384,42,2,12,36.965228781104088,0.63656454553576325
mpi,square,16384,16384,42,2,13,37.663357485085726,0.6260940157621101
mpi,square,16384,16384,42,2,14,36.970018722116947,0.63553645253734248
mpi,square,16384,16384,42,2,15,37.240916538983583,0.63172207936122049
mpi,square,16384,16384,42,2,16,37.553427200764418,0.62488826446933798
mpi,square,16384,16384,42,2,17,36.916324950754642,0.63629002695573733
mpi,square,16384,16384,42,2,18,37.708207469433546,0.62584244903364405
mpi,square,16384,16384,42,2,19,36.870317913591862,0.63747013820024478
mpi,square,16384,16384,42,2,20,37.162017896771431,0.63261382965571888
mpi,square,16384,16384,42,4,1,20.999301951378584,0.56098430552284684
mpi,square,16384,16384,42,4,2,21.211786400526762,0.55765177731078674
mpi,square,16384,16384,42,4,3,21.488632418215275,0.55538675746593036
mpi,square,16384,16384,42,4,4,21.717431839555502,0.55197120213045447
mpi,square,16384,16384,42,4,5,20.952081747353077,0.5605556481976639
mpi,square,16384,16384,42,4,6,21.214163739234209,0.55844312342281555
mpi,square,16384,16384,42,4,7,21.212554544210434,0.55891520358637536
mpi,square,16384,16384,42,4,8,21.67144364118576,0.55243972976221711
mpi,square,16384,16384,42,4,9,20.975280415266752,0.55989864678380119
mpi,square,16384,16384,42,4,10,21.086707938462496,0.55898730134339614
mpi,square,16384,16384,42,4,11,20.970678333193064,0.56031771266555508
mpi,square,16384,16384,42,4,12,21.464812912046909,0.55421771343005577
mpi,square,16384,16384,42,4,13,20.981975793838501,0.55941269403716765
mpi,square,16384,16384,42,4,14,20.996080458164215,0.55943293749007028
mpi,square,16384,16384,42,4,15,20.999917563050985,0.55913722464378013
mpi,square,16384,16384,42,4,16,20.994148407131433,0.55986203096268572
mpi,square,16384,16384,42,4,17,21.067404448986053,0.55698210134281356
mpi,square,16384,16384,42,4,18,21.031470943242311,0.55800896306491454
mpi,square,16384,16384,42,4,19,21.067279361188412,0.55658966517362796
mpi,square,16384,16384,42,4,20,21.144012410193682,0.55524817079867694
mpi,square,16384,16384,42,8,1,10.63706948235631,0.56007662001320924
mpi,square,16384,16384,42,8,2,11.235216040164232,0.55425061168103862
